,station,name,latitude,longitude
0,3047,Pico & Flower,34.03998,-118.2664
1,3005,7th & Flower,34.0485,-118.25854
2,3023,1st & Judge John Aiso,34.05091,-118.24097
3,3051,7th & Broadway,34.04542,-118.25352
4,3007,5th & Grand,34.05048,-118.25459
5,3075,Broadway & 9th,34.04211,-118.25619
6,3066,Spring & College,34.06339,-118.23616
7,3082,Traction & Rose,34.04652,-118.23741
8,3064,Grand & 7th,34.04681,-118.25698
9,3052,7th & Bixel,34.0511,-118.26456
10,3029,Main & 4th,34.04885,-118.24642
11,3006,Olive & 8th,34.04554,-118.25667
12,3018,Grand & Olympic,34.04373,-118.26014
13,3035,Figueroa & 8th,34.0484,-118.26095
14,3032,Hope & 6th,34.04989,-118.25588
15,3030,Main & 1st,34.05194,-118.24353
16,3074,Hope & Olympic,34.04417,-118.26117
17,3022,3rd & Santa Fe,34.04607,-118.23309
18,3069,Broadway & 3rd,34.05088,-118.24825
19,3042,1st & Central,34.0493,-118.23881
20,3026,Figueroa & Cesar Chavez,34.06318,-118.24588
21,3054,Factory Place & Alameda,34.03922,-118.23649
22,3024,Hope & 1st,34.05772,-118.24897
23,3038,Main & 5th,34.04682,-118.24835
24,3037,Imperial & 7th,34.0348,-118.23128
25,3062,3rd & San Pedro,34.04775,-118.24317
26,3068,Grand & 3rd,34.0532,-118.25095
27,3058,Industrial St & Mateo St,34.0358,-118.23317
28,3067,Main & 6th,34.04518,-118.25024
29,3040,Wilshire & Witmer,34.05357,-118.26636
30,3036,Willow St & Mateo St,34.03919,-118.23253
31,3056,Grand & 14th,34.03746,-118.26538
32,3008,Figueroa & 9th,34.04661,-118.26273
33,3031,7th & Spring,34.0447,-118.25244
34,3034,Hope & 11th,34.04206,-118.26338
35,3063,Olive & 5th,34.04804,-118.25374
36,3077,8th & Wall,34.03987,-118.25004
37,3048,5th & Hewitt,34.04169,-118.23535
38,3049,2nd & Figueroa,34.05697,-118.25359
39,3016,Los Angeles & Temple,34.0529,-118.24156
40,3014,Union Station West Portal,34.05661,-118.23721
41,3011,Figueroa & Pico,34.04113,-118.26798
42,3076,9th & Los Angeles,34.0406,-118.25384
43,3033,Main & 9th,34.04099,-118.2558
44,3027,Spring & 3rd,34.04998,-118.24716
45,3019,12th & Hill,34.03861,-118.26086
46,3046,2nd & Hill,34.05287,-118.24749
47,3010,11th & Maple,34.03705,-118.25487
48,3020,Hill & Washington,34.03105,-118.26709
49,3025,Grand & Washington,34.03286,-118.26808
50,3028,Grand & Temple,34.05832,-118.24609
51,3065,New High & Ord,34.06056,-118.23833
52,3057,18th & Figueroa,34.03568,-118.27081
53,3045,18th & San Pedro,34.02851,-118.25667
54,3081,Stanford & 12th,34.03189,-118.25018
55,3078,Hill & College,34.06428,-118.23894
